"Symb","Proportion","Orders","Buys","AtAsk","AtBid","NetPrems","PremsChng","AvgExpD","OTM%","OTMScore","Unusual%","SpotChng","Ivol%"
"VLO","50%","5","60.0","100.85K","63.90K","36.95K","100.0%","18.4","60.0%","0.8","1.3","0","39.03"
"SBUX","8%","1","100.0","36.56K","0.00","36.56K","92.9%","31.0","100.0%","6.6","0.1","0","23.76"
"LUV","33%","3","66.7","80.23K","48.75K","31.48K","100.0%","346.0","66.7%","-4.5","0.5","0","36.64"
"VST","100%","6","83.3","179.16K","152.26K","26.90K","41.8%","339.0","83.3%","-13","12.5","0","35.26"
"COF","28%","5","60.0","114.24K","88.55K","25.68K","83.0%","74.4","60.0%","9.3","0.9","0","34.43"
"PLUG","50%","3","66.7","59.93K","34.31K","25.61K","21.3%","73.0","66.7%","-6.2","0.8","0","73.86"
"SPOT","17%","1","100.0","25.25K","0.00","25.25K","94.8%","31.0","100.0%","9.4","0.2","0","49.75"
"MGM","25%","2","50.0","58.13K","33.30K","24.82K","91.2%","31.0","50.0%","-9.1","0.2","0","39.65"
"BITO","93%","28","67.9","769.37K","746.72K","22.65K","100.0%","407.3","67.9%","36.4","2.2","0","55.54"
"BOIL","89%","8","50.0","173.15K","152.96K","20.19K","93.8%","320.6","50.0%","28.9","0.6","0","140.11"
"XLI","22%","2","50.0","52.89K","34.13K","18.77K","100.0%","34.5","50.0%","1","0.5","0","20.11"
"BP","32%","12","50.0","303.74K","285.28K","18.46K","83.6%","107.4","50.0%","-5.1","0.3","0","29.36"
"SLB","33%","2","50.0","40.18K","26.42K","13.76K","81.5%","31.0","50.0%","5.2","0.2","0","36.96"
"VALE","40%","2","50.0","46.85K","33.90K","12.95K","95.6%","62.5","50.0%","1.2","0.3","0","56.2"
"AZN","50%","3","66.7","58.34K","46.25K","12.09K","100.0%","84.7","66.7%","1.7","10.0","0","20.89"
"TRIP","60%","3","66.7","63.20K","59.04K","4.16K","100.0%","66.0","66.7%","4.6","3.3","0","48.97"
"PNC","67%","4","50.0","101.10K","97.01K","4.09K","100.0%","94.0","50.0%","-0.5","10.0","0","25.58"
"BBY","25%","2","50.0","46.02K","42.50K","3.52K","76.5%","38.0","50.0%","2.8","1.3","0","39.13"
"ABT","50%","3","66.7","53.68K","52.86K","816.00","100.0%","82.3","66.7%","3.1","1.7","0","21.81"
"FSLR","33%","5","60.0","93.45K","93.45K","0.00","100.0%","14.2","60.0%","8.6","0.8","0","55.55"
"DHI","17%","2","50.0","68.40K","69.40K","-1.00K","101.8%","13.5","50.0%","-6.6","0.5","0","36.41"
"UVXY","33%","2","50.0","30.00K","33.60K","-3.60K","100.0%","20.5","50.0%","2.1","0.2","0","98.12"
"VFC","88%","7","71.4","181.39K","189.08K","-7.69K","100.0%","703.0","71.4%","9.9","8.3","0","44.15"
"STNG","88%","7","42.9","187.07K","196.02K","-8.95K","100.0%","23.0","42.9%","-2.9","0.3","0","67.64"
"BIIB","80%","4","75.0","86.60K","97.20K","-10.60K","100.0%","10.0","75.0%","0.2","5.0","0","52.46"
"UNP","33%","3","33.3","46.55K","58.17K","-11.62K","100.0%","38.0","33.3%","-1","1.3","0","25.78"
"DIA","22%","4","50.0","144.49K","157.00K","-12.51K","102.1%","13.5","50.0%","-0.5","0.2","0","17.09"
"SDOW","57%","4","50.0","62.60K","81.14K","-18.55K","138.3%","53.8","50.0%","3.5","1.3","0","48.71"
"MDT","27%","3","33.3","45.66K","68.12K","-22.46K","116.6%","7.7","33.3%","1.9","0.4","0","28.45"
"APLS","29%","2","50.0","45.65K","68.80K","-23.15K","100.0%","66.0","50.0%","16.5","5.0","0","156.01"
"ZM","50%","4","50.0","78.99K","103.39K","-24.39K","100.0%","179.8","50.0%","44.6","0.3","0","57.1"
"EMB","29%","2","50.0","100.80K","125.40K","-24.60K","123.7%","230.5","50.0%","-0.2","0.8","0","15.69"
"SOXL","82%","27","55.6","993.21K","1.02M","-28.24K","100.0%","80.5","55.6%","0.3","1.4","0","104.74"
"LQD","22%","2","50.0","70.00K","102.96K","-32.96K","112.7%","34.5","50.0%","0.2","0.8","0","13"
"BMY","60%","3","66.7","72.42K","106.93K","-34.51K","147.8%","70.7","66.7%","5.9","0.7","0","19.02"
"RIVN","88%","23","47.8","452.55K","489.22K","-36.67K","108.8%","158.5","43.5%","1.5","0.7","0","87.3"
"ULTA","82%","9","44.4","343.20K","380.15K","-36.95K","100.0%","17.8","44.4%","0.3","2.5","0","32.24"
"AAL","52%","13","38.5","487.32K","525.23K","-37.91K","100.0%","301.3","38.5%","27.8","1.5","0","43.97"
"PTON","58%","7","28.6","113.50K","154.31K","-40.81K","100.0%","134.0","28.6%","19.7","0.2","0","81.71"
"V","40%","4","50.0","271.50K","316.44K","-44.94K","100.0%","102.8","50.0%","1.4","0.4","0","23.41"
"ORCL","57%","8","75.0","231.68K","283.60K","-51.92K","123.9%","69.5","75.0%","2.9","0.7","0","28"
"AYX","50%","3","33.3","36.50K","92.28K","-55.78K","171.1%","61.3","33.3%","-7.5","0.2","0","47.79"
"WMT","42%","10","50.0","182.12K","240.13K","-58.02K","180.4%","70.2","50.0%","1.5","1.0","0","27.56"
"KR","60%","6","33.3","213.40K","271.50K","-58.10K","826.4%","283.0","33.3%","-7.3","3.3","0","27.93"
"CVS","25%","5","40.0","248.60K","307.87K","-59.27K","100.0%","45.0","40.0%","0","0.1","0","21.56"
"NSC","11%","2","50.0","72.00K","132.00K","-60.00K","209.6%","10.0","50.0%","1","2.5","0","34.24"
"MSTR","32%","9","33.3","360.40K","420.70K","-60.30K","196.8%","18.6","33.3%","6.1","0.8","0","91.34"
"XLK","38%","3","33.3","25.34K","92.75K","-67.40K","398.0%","119.7","33.3%","28.3","0.3","0","26.38"
"BX","57%","8","37.5","136.24K","207.16K","-70.92K","100.0%","64.3","37.5%","2","0.9","0","40.84"
"UNH","46%","6","33.3","72.33K","143.76K","-71.44K","118.8%","49.7","33.3%","4.3","0.2","0","23.15"
"W","11%","3","33.3","68.92K","143.53K","-74.61K","137.4%","164.0","33.3%","10.7","0.3","0","92.93"
"FCX","39%","20","45.0","611.14K","686.85K","-75.71K","109.9%","168.2","45.0%","4.1","0.7","0","41.86"
"IRBT","44%","4","25.0","25.75K","101.94K","-76.20K","100.0%","31.0","25.0%","6.3","5.0","0","49.52"
"PANW","78%","14","35.7","1.12M","1.19M","-78.98K","100.0%","61.0","35.7%","-0.1","1.2","0","43.19"
"PYPL","55%","36","41.7","1.28M","1.36M","-81.10K","126.8%","153.9","41.7%","5","0.5","0","40.72"
"CNC","80%","4","50.0","133.94K","216.70K","-82.77K","100.0%","17.0","50.0%","-11.2","1.7","0","50.64"
"SHOP","56%","31","54.8","844.27K","944.58K","-100.31K","100.0%","57.0","51.6%","10.5","1.3","0","101.27"
"U","60%","15","46.7","375.46K","482.66K","-107.20K","255.6%","38.5","46.7%","7.5","0.7","0","102.78"
"CMG","67%","4","50.0","423.13K","535.64K","-112.52K","100.0%","10.0","50.0%","-0.2","0.8","0","29"
"LAZR","80%","4","50.0","660.00K","780.00K","-120.00K","100.0%","4.8","50.0%","10.3","0.7","0","135.51"
"AFRM","33%","6","33.3","80.88K","201.49K","-120.61K","100.0%","162.8","33.3%","20","0.1","0","111.09"
"DOW","54%","7","42.9","137.43K","258.25K","-120.83K","514.2%","140.0","42.9%","8.1","0.9","0","26.96"
"GLD","62%","21","42.9","759.22K","882.14K","-122.92K","108.5%","38.0","42.9%","1.8","0.5","0","14.45"
"GDX","46%","6","33.3","92.85K","220.81K","-127.97K","100.0%","169.8","33.3%","1.5","0.2","0","34.38"
"CLF","62%","5","20.0","52.80K","180.80K","-128.00K","100.0%","77.2","20.0%","12.3","0.3","0","54.23"
"KWEB","62%","5","20.0","79.70K","212.92K","-133.22K","100.0%","131.8","20.0%","24.8","0.1","0","49.94"
"ROKU","76%","16","50.0","375.98K","509.89K","-133.92K","159.5%","100.1","50.0%","16.3","1.1","0","106.19"
"DIS","51%","21","52.4","593.30K","730.38K","-137.08K","126.8%","124.3","52.4%","2.1","0.2","0","30.47"
"AMC","18%","7","28.6","66.08K","207.29K","-141.21K","572.2%","80.0","28.6%","143.3","0.1","0","246.87"
"PPL","100%","5","20.0","25.60K","176.60K","-151.00K","100.0%","126.2","20.0%","-2.1","2.5","0","23.82"
"WPM","71%","5","20.0","65.10K","221.76K","-156.66K","100.0%","213.0","20.0%","15.7","0.5","0","31.07"
"HOOD","50%","7","28.6","57.60K","221.40K","-163.80K","1038.3%","184.0","28.6%","15.1","1.1","0","60.9"
"DVN","50%","8","25.0","61.60K","225.65K","-164.05K","100.0%","72.1","25.0%","1.7","0.2","0","47.72"
"PBR","84%","16","37.5","207.58K","384.62K","-177.04K","183.5%","56.8","18.8%","-2.7","0.4","0","53.14"
"UNG","95%","19","31.6","324.69K","510.01K","-185.31K","169.8%","88.8","31.6%","2.6","0.6","0","80.43"
"DXCM","100%","5","20.0","25.20K","211.54K","-186.34K","100.0%","49.2","20.0%","17","0.4","0","35.28"
"CSCO","68%","19","47.4","440.37K","627.09K","-186.72K","100.0%","180.9","47.4%","-2.6","1.1","0","37.86"
"GOLD","38%","6","16.7","26.70K","225.46K","-198.75K","154.7%","215.3","16.7%","1.2","0.1","0","46.71"
"DE","50%","3","66.7","67.20K","277.00K","-209.80K","100.0%","52.0","66.7%","5.1","2.0","0","39.72"
"SMCI","100%","8","25.0","65.50K","277.01K","-211.51K","100.0%","52.0","25.0%","3.8","0.6","0","69.48"
"CMCSA","75%","12","33.3","240.77K","465.29K","-224.52K","196.4%","154.1","33.3%","5.6","1.5","0","25.45"
"COTY","67%","6","33.3","58.00K","282.67K","-224.67K","1087.2%","339.0","16.7%","6.1","1.7","0","41.3"
"GNRC","64%","7","57.1","248.01K","477.09K","-229.08K","100.0%","37.0","57.1%","15.3","2.5","0","99.44"
"RIOT","100%","8","37.5","111.66K","341.86K","-230.20K","100.0%","195.5","37.5%","41.2","1.5","0","108.09"
"CVNA","70%","19","63.2","584.32K","826.11K","-241.79K","214.6%","59.4","52.6%","7.1","0.4","0","222.42"
"KRE","80%","12","41.7","377.74K","624.89K","-247.15K","224.2%","36.3","41.7%","-3.6","1.7","0","25.48"
"AI","79%","37","45.9","587.34K","850.77K","-263.43K","168.8%","78.3","45.9%","10.1","0.3","0","130.47"
"KHC","64%","7","28.6","55.45K","325.68K","-270.24K","2313.4%","84.0","28.6%","4.6","10.0","0","26.38"
"BILL","100%","6","33.3","71.43K","350.36K","-278.93K","100.0%","124.3","33.3%","24.7","0.2","0","66.33"
"TLT","41%","22","22.7","671.24K","970.50K","-299.26K","100.0%","51.4","22.7%","0.8","0.2","0","18.5"
"EEM","53%","8","12.5","32.29K","334.58K","-302.29K","100.0%","60.8","12.5%","-6.3","0.1","0","21.39"
"EOG","100%","8","12.5","55.70K","368.03K","-312.33K","291.6%","47.6","12.5%","0.6","0.2","0","36.61"
"WDAY","50%","5","20.0","50.40K","368.24K","-317.84K","100.0%","19.8","20.0%","-0.1","0.6","0","45.74"
"LOW","75%","12","41.7","264.09K","590.72K","-326.63K","100.0%","66.0","41.7%","7.3","1.9","0","29.58"
"CZR","100%","14","57.1","337.38K","709.17K","-371.79K","878.2%","127.0","57.1%","29.4","4.4","0","51.78"
"FDX","71%","10","30.0","356.99K","742.30K","-385.31K","371.1%","26.8","30.0%","1.4","0.8","0","32.57"
"HD","37%","11","54.5","540.82K","967.15K","-426.33K","100.0%","53.3","54.5%","7.8","1.3","0","30.62"
"ENPH","22%","8","12.5","37.13K","468.75K","-431.62K","146.5%","17.9","12.5%","1.7","0.0","0","67.16"
"ADBE","50%","6","16.7","66.16K","526.71K","-460.55K","100.0%","12.3","16.7%","1.3","0.3","0","36.11"
"KO","75%","9","22.2","116.41K","598.68K","-482.28K","100.0%","245.7","22.2%","2.6","0.8","0","17.94"
"SPXS","93%","13","15.4","204.74K","756.26K","-551.52K","100.0%","61.2","7.7%","1.8","0.4","0","57.21"
"MRNA","59%","16","68.8","524.58K","1.12M","-596.17K","212.5%","131.2","68.8%","18.7","1.1","0","53.5"
"PDD","50%","13","30.8","240.77K","881.23K","-640.45K","423.2%","80.0","30.8%","6","0.2","0","59.54"
"DKNG","92%","11","27.3","180.59K","832.37K","-651.78K","981.7%","328.8","27.3%","3.5","0.6","0","82.92"
"TSM","71%","56","58.9","2.68M","3.35M","-669.25K","100.0%","89.5","55.4%","8.4","1.5","0","34.7"
"NEM","97%","33","21.2","372.77K","1.10M","-727.49K","514.0%","189.0","21.2%","3.5","0.8","0","34.26"
